target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.0016000000000000458,-0.9927671407924354,0.0001126523212333641,383.22569328213314,0.0
2,3,0.1,0.0019000000000000128,-0.9932241851661382,9.836303634636057e-05,364.28357998680974,16.721718850494767
2,5,0.1,0.00039999999999995595,-0.9945216745884453,6.822338142997708e-05,449.25267821707064,0.0
2,10,0.1,0.0018000000000000238,-0.9945102575884113,7.014632178470315e-05,503.81283193939123,0.0
2,2,1.0,0.0017000000000000348,-0.9905620403532386,0.0001989823867490914,466.7921161121279,0.0
2,3,1.0,0.0016000000000000458,-0.9900618380999746,0.00025101092469659303,506.90339335155693,0.0
2,5,1.0,0.0012999999999999678,-0.9942880714317206,8.91605385249239e-05,165.32814991070896,0.0
2,10,1.0,0.0016000000000000458,-0.9922081126489253,0.0001575819398815792,616.6275436112144,0.0
2,2,2.0,0.0021999999999999797,-0.9906436192719216,0.0001958444349534627,358.078446923044,0.0
2,3,2.0,0.0023999999999999577,-0.9895244293820608,0.00027470792076755846,283.2285967578616,0.0
2,5,2.0,0.0011999999999999789,-0.9935744279579622,0.00010753026572940527,391.6984927545215,0.0
2,10,2.0,0.0018000000000000238,-0.9920360479321003,0.0001716580307474791,385.04909687789774,0.0
