target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
3,2,0.1,0.05669999999999997,-0.8874502856686591,0.03134442967137152,4.748030615007086,28.067561930475506
3,3,0.1,0.05779999999999996,-0.8798424742046344,0.03578462260973414,11.134866347981772,31.071269898351765
3,5,0.1,0.0726,-0.8668859446578393,0.045777142590951,21.992013231687537,41.83240712990504
3,10,0.1,0.09809999999999997,-0.8134721210723245,0.08801438753086432,13.610378315552664,37.064405077921656
3,2,1.0,0.06769999999999998,-0.8707529151893495,0.04108712353278332,10.161259173930723,27.965469418882147
3,3,1.0,0.06769999999999998,-0.8688817860802315,0.04272219825415846,16.784803682143817,32.50155495343314
3,5,1.0,0.08499999999999996,-0.8367891691321928,0.06782787589662564,34.91803588741485,40.35028655300223
3,10,1.0,0.10909999999999997,-0.7731468357462389,0.129624953104451,22.60446760241068,38.00039748916024
3,2,2.0,0.07450000000000001,-0.8493513233897785,0.055547863271077524,16.117149164218954,29.435611679914786
3,3,2.0,0.07750000000000001,-0.8535376512782897,0.05303506925226131,19.723064973805403,35.2166420752784
3,5,2.0,0.08579999999999999,-0.8366293395983017,0.06686108280503023,33.19448704590171,42.378160820016205
3,10,2.0,0.1279,-0.7492467174459492,0.16171429364439105,24.028660641378917,43.354777381328326
