target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.033299999999999996,-0.922910073510005,0.016756504691732177,128.97061026844023,38.52129826352427
2,3,0.1,0.034399999999999986,-0.9218706389990233,0.01690079997846694,127.06147848116959,38.60657532917146
2,5,0.1,0.0403,-0.9156617033175347,0.019218343890225253,123.98569798280217,39.11463399222303
2,10,0.1,0.054400000000000004,-0.8881276989529605,0.03142661674978264,104.77356565722955,40.34271075743629
2,2,1.0,0.030100000000000016,-0.9220082685835808,0.01700099986198289,128.29553532532762,38.423896277281074
2,3,1.0,0.03169999999999995,-0.9191065175432871,0.017571938121783592,127.80379194998578,39.21526300090007
2,5,1.0,0.04310000000000003,-0.9054552692264407,0.022410353407118944,124.32680946530559,38.809994208114475
2,10,1.0,0.06999999999999995,-0.8633566273296767,0.04748458860958904,108.37901262826382,39.722051959430964
2,2,2.0,0.03500000000000003,-0.9187802907596012,0.017919999440438317,129.3355210162844,37.155712462496545
2,3,2.0,0.03749999999999998,-0.9155858848043179,0.018179364784267626,127.18309130562803,40.35226691265068
2,5,2.0,0.04400000000000004,-0.9048925726225043,0.0226551893391026,124.75687574323427,38.416716225038805
2,10,2.0,0.07879999999999998,-0.8455732749962541,0.061152808289034466,105.12844657302318,39.443168841944896
