target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
2,4,0.0,0.17269999999999996,-0.5936148509087221,0.4173368991491473,3869.7534677861227,6983.133064703572
2,8,0.0,0.1048,-0.6859357040608942,0.26064627532353946,3900.457649269871,6870.146771777259
2,16,0.0,0.2056,-0.5166603415581891,0.5972843108963473,3800.686955586185,6385.15946001199
2,32,0.0,0.19179999999999997,-0.5903928664064216,0.40047829594963613,3891.608098496926,6943.700245000954
2,64,0.0,0.34840000000000004,-0.3310591039342605,0.7525930121978296,3868.9388584821845,6923.695548131541
2,128,0.0,0.3409,-0.3370482916120018,0.7891393545099229,3891.6062563946857,6943.700248113589
2,4,0.1,0.2128,-0.5256888615962959,0.5228849532526025,3857.523369055604,6840.856573954047
2,8,0.1,0.15239999999999998,-0.6458056121300472,0.32036935211380235,3923.059520437189,6688.326337025424
2,16,0.1,0.16720000000000002,-0.6036562071382063,0.4317461654506286,3911.9040095270966,6846.747804932212
2,32,0.1,0.17010000000000003,-0.6479761477068215,0.295240046822129,3891.607156770797,6943.70027792127
2,64,0.1,0.30889999999999995,-0.37460218328941214,0.7179540850548739,3883.515622018481,6919.96228445776
2,128,0.1,0.35829999999999995,-0.29548668247737114,0.8277685360487094,3869.3641395395093,6901.873562682995
2,4,0.25,0.1835,-0.5690894079689531,0.4899977889691658,3911.910676256479,6846.748186740353
2,8,0.25,0.1169,-0.7282920333759525,0.21111673422206967,3884.56769134448,6962.862002825517
2,16,0.25,0.16790000000000005,-0.5946910904106056,0.42269343417278227,3772.2676837060544,6609.948351455478
2,32,0.25,0.17969999999999997,-0.6223284358886114,0.35887009718946106,3923.0582543488217,6688.325138290673
2,64,0.25,0.28869999999999996,-0.41328148244514834,0.6879258078125047,3874.252599368936,6899.820750557944
2,128,0.25,0.3687,-0.26136065770270434,0.8709567718647104,3954.100100256385,6906.896177365655
2,4,0.5,0.23029999999999995,-0.4901421109608666,0.5573273406586746,3854.9724443772825,6865.595842370298
2,8,0.5,0.17369999999999997,-0.5840958521403258,0.4248510296137772,3878.8005916253896,6970.060467800506
2,16,0.5,0.15200000000000002,-0.6378815918243466,0.3512399269228069,3903.7406016440523,6923.696233901742
2,32,0.5,0.19920000000000004,-0.5744703180513986,0.44361258880170307,3885.4033298567956,6645.158425200395
2,64,0.5,0.33499999999999996,-0.3323933681689299,0.7855040621058182,3886.1774446008953,6919.962287830883
2,128,0.5,0.3428,-0.3281774765944251,0.8061129286289803,3954.1005519595296,6906.896167020903
2,4,0.8,0.31699999999999995,-0.31188719109151686,0.8230422847309405,3882.6382108180314,6780.691019590949
2,8,0.8,0.1846,-0.6133882380529807,0.41225595803383364,3854.4682728111825,6812.166449934394
2,16,0.8,0.138,-0.6501593890955573,0.3094575269568547,3904.293067083455,6920.266286417984
2,32,0.8,0.16479999999999995,-0.6345568496131506,0.3269050273324472,3920.71797970035,6889.006477035155
2,64,0.8,0.3357,-0.33254946667799,0.7897343761193596,3896.3996469270514,6739.363826917818
2,128,0.8,0.3164,-0.3438366520219285,0.7829292763094897,3826.7618855295095,6925.290982764763
