target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.0012999999999999678,-0.9966507426657133,2.739116044558898e-05,231.61381562921167,0.0
2,5,0.01,32,0.1,0.0008000000000000229,-0.9965926860059658,2.8576017246373375e-05,716.0046660506115,3.1348706265589388
2,3,0.1,32,0.1,0.0010999999999999899,-0.9949196501570073,5.9085430125449534e-05,407.4608909197655,0.0
2,5,0.1,32,0.1,0.0012999999999999678,-0.9954863301196893,4.8750440564848674e-05,544.9100715378371,0.0
2,3,0.01,64,0.1,0.0012999999999999678,-0.9965240220624987,2.8794178672408854e-05,773.7887870297932,2.3976367432705956
2,5,0.01,64,0.1,0.0010999999999999899,-0.9965002973744848,2.9311183518787587e-05,296.25854597911797,7.070283721599765
2,3,0.1,64,0.1,0.0013999999999999568,-0.9946934559045602,6.360152038487055e-05,219.8114665979806,0.0
2,5,0.1,64,0.1,0.0013999999999999568,-0.9954594070522332,4.875364888279332e-05,374.41226521590403,0.0
2,3,0.01,32,1.0,0.0004999999999999449,-0.9960359250681361,4.3923824972535996e-05,148.92513039605595,0.0
2,5,0.01,32,1.0,0.0009000000000000119,-0.9961575849443852,4.0094760979658695e-05,461.67484306490974,0.0
2,3,0.1,32,1.0,0.0010000000000000009,-0.9939665735690602,0.00011898762153594866,342.10775380995824,0.0
2,5,0.1,32,1.0,0.0010999999999999899,-0.9956749535351452,5.245159598810112e-05,479.1247709734474,0.0
2,3,0.01,64,1.0,0.00029999999999996696,-0.9950133343345916,7.51130348963791e-05,318.93868586838965,0.0
2,5,0.01,64,1.0,0.0012999999999999678,-0.9951812290123969,7.244245474857802e-05,385.14013976536944,0.0
2,3,0.1,64,1.0,0.0016000000000000458,-0.9930675860309196,0.00013781480049945838,196.14797928913174,0.0
2,5,0.1,64,1.0,0.0012999999999999678,-0.9949380712031617,6.680729256636209e-05,436.7592836586529,0.0
2,3,0.01,32,2.0,0.0011999999999999789,-0.9958574635924268,4.740353105836537e-05,816.762905336736,0.0
2,5,0.01,32,2.0,0.0010000000000000009,-0.9962712691149368,3.886446211642802e-05,367.6801635465643,0.0
2,3,0.1,32,2.0,0.0018000000000000238,-0.99410952898438,0.00011155934283435531,667.5561641313128,0.0
2,5,0.1,32,2.0,0.0008000000000000229,-0.9953151965766261,6.958123905609348e-05,422.1412847463594,0.0
2,3,0.01,64,2.0,0.0018000000000000238,-0.9948272615255263,7.866055595096011e-05,360.06065440111223,0.0
2,5,0.01,64,2.0,0.0006000000000000449,-0.9951806217251612,6.421834041159258e-05,297.10972333336827,0.0
2,3,0.1,64,2.0,0.0014999999999999458,-0.9931831730348102,0.0001306574582977671,279.980504215543,0.0
2,5,0.1,64,2.0,0.0009000000000000119,-0.9947294073089226,8.125060356145575e-05,238.99278247522957,0.0
