target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.02090000000000003,-0.9416770091940088,0.03919030251508038,1936.9173202018867,2425.510758000195
2,3,0.1,0.01980000000000004,-0.9417255124955777,0.03913665378816611,2024.075089970428,2495.6786971327474
2,5,0.1,0.019100000000000006,-0.943246506742351,0.03896480742798103,2046.9836530266107,2323.440920141329
2,10,0.1,0.020299999999999985,-0.9428529165648359,0.03903826124218468,1987.8121763159916,2418.181581093806
2,2,1.0,0.017299999999999982,-0.945003473400726,0.039137718645493313,1949.8806563590883,2369.194995825059
2,3,1.0,0.01859999999999995,-0.9504280236230221,0.03900671404737999,1793.036449306375,1894.3143590634431
2,5,1.0,0.015900000000000025,-0.9542009414733403,0.03870204498046392,1358.145517168678,1044.4952529821348
2,10,1.0,0.020000000000000018,-0.939457672623444,0.04077652226959483,1461.4435063251017,767.9136055231975
2,2,2.0,0.020199999999999996,-0.9473419946449134,0.03935503214237557,1765.0982478549854,2222.316010131477
2,3,2.0,0.017800000000000038,-0.9526774938320538,0.04039184690875108,1236.2957242815007,2910.1918371255892
2,5,2.0,0.01749999999999996,-0.9528168676841654,0.04011597129527278,784.1710836417534,305.56764394237166
2,10,2.0,0.023700000000000054,-0.9304416761891285,0.04445958971333519,902.9792013769746,488.7644839408604
