target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
2,4,0.0,0.32099999999999995,-0.3066351737747446,0.7541632003929043,27.836755658519333,20.386774009501014
2,8,0.0,0.34840000000000004,-0.21875290791031832,0.9265082180986096,27.415863048869678,21.40255930280193
2,16,0.0,0.3325,-0.20991955801614062,0.9327032693465684,27.499799571848964,21.071913267123026
2,32,0.0,0.32999999999999996,-0.2135501376126889,0.9355259914140532,27.159201345171862,20.998593941761392
2,64,0.0,0.32720000000000005,-0.22438181814784378,0.9212048948232012,26.831425089639662,19.951570375821067
2,128,0.0,0.33340000000000003,-0.22583024506819865,0.9523676859488853,27.217756659568185,20.38077627081122
2,4,0.1,0.3519,-0.2636387200652532,0.8112301550611201,28.172104183109425,20.736524899216167
2,8,0.1,0.3306,-0.2512611579797233,0.8942680574743237,27.20054741810042,21.5671588245737
2,16,0.1,0.3367,-0.21771901248335546,0.9361278957290802,27.29717996205553,19.8234710683385
2,32,0.1,0.3526,-0.20273954300331964,0.9688693606055103,27.068811947857903,20.619897843536503
2,64,0.1,0.33819999999999995,-0.2195370705677972,0.9548822815762472,26.858255949097316,19.95331745175426
2,128,0.1,0.3267,-0.23784305565881825,0.9440707585418711,27.210890338316254,21.697839412571255
2,4,0.25,0.3267,-0.2750311283749864,0.8365389115609544,27.706123481122017,20.63647700434129
2,8,0.25,0.32330000000000003,-0.270923340634022,0.879728639777202,27.45851040700014,19.783433656220716
2,16,0.25,0.3345,-0.24316619718820334,0.9061291373851684,26.52043215486411,20.511145671821183
2,32,0.25,0.3265,-0.23581445012791785,0.8852995160967478,27.233571032858954,19.768164080880723
2,64,0.25,0.30800000000000005,-0.24588451391528982,0.8769465086196905,27.422333144296616,21.551129132127514
2,128,0.25,0.31010000000000004,-0.25588893449130934,0.8596196088894008,26.9289265681903,21.12143807639614
2,4,0.5,0.30310000000000004,-0.38250856765147245,0.661978872871986,27.44627977582379,21.000268295106245
2,8,0.5,0.30910000000000004,-0.295847875675251,0.8496756513338917,27.733317498698558,20.916601800833714
2,16,0.5,0.32499999999999996,-0.25330203730837847,0.8893715268308443,27.822096521804777,21.181693585389898
2,32,0.5,0.3316,-0.24450891543658904,0.9171237883720187,27.213489915862663,20.77373901131893
2,64,0.5,0.3137,-0.26211816026282414,0.8543634849802949,27.571418401521072,20.680386457976997
2,128,0.5,0.3015,-0.2634920417308136,0.8540442585284939,27.09725372472762,19.93834954732823
2,4,0.8,0.30279999999999996,-0.3684696181168324,0.6724756194940054,27.22692959210611,20.533568511844244
2,8,0.8,0.31179999999999997,-0.29655998481152057,0.8516576748311279,27.98548068587389,21.21118540538733
2,16,0.8,0.3064,-0.2652266946183402,0.8503617040633427,27.958638454595857,20.798045819021393
2,32,0.8,0.31279999999999997,-0.26786319746185294,0.8720074213321871,28.24255586344668,21.9269534235826
2,64,0.8,0.31089999999999995,-0.2698122480777969,0.8510083127027458,28.128248612646452,20.637934980674157
2,128,0.8,0.3107,-0.2656306964609845,0.8517062045421824,27.12038687691697,20.90301362764766
