target_dim,perplexity,ijk,kendall,residual variance,globalh0,globalh1
2,2.0,0.4627,-0.10056137960764695,0.9827992313396425,3622.1868298095046,254.4437024797287
2,4.35483870967742,0.3358,-0.3230969796690964,0.8432285323928258,3549.4590029654164,190.81124608654693
2,6.709677419354839,0.22350000000000003,-0.5283084218714845,0.5928180383989146,3563.201379182517,160.03374447899
2,9.064516129032258,0.13,-0.7316844242834266,0.24104997505189762,3674.959223976485,98.34435544842566
2,11.419354838709678,0.10519999999999996,-0.773159289134514,0.25418841254315494,3742.7112807491126,254.08564685172155
2,13.774193548387098,0.037699999999999956,-0.8936742978773908,0.04642500294365193,3649.3795424037826,101.59797701491343
2,16.129032258064516,0.0534,-0.8371155974854078,0.1400193164863761,3730.7253960284793,98.28478454936217
2,18.483870967741936,0.03480000000000005,-0.8972716324580028,0.04542106438569804,3684.953884710364,396.70493413946315
2,20.838709677419356,0.0817,-0.8324774621413786,0.18842348841366796,3700.500753848512,254.07898278732034
2,23.193548387096776,0.03469999999999995,-0.8889692329828618,0.050431711509017374,3659.5507178296657,98.28490805876993
2,25.548387096774196,0.07399999999999995,-0.8095560237265828,0.14201305559671717,3685.0625474344124,101.59777364776677
2,27.903225806451616,0.11040000000000005,-0.7677902840990946,0.19948196713059796,3674.0112632136634,254.08008427860253
2,30.258064516129032,0.1351,-0.7092653350230474,0.27029262831326795,3682.660382004798,302.09979737814126
2,32.61290322580645,0.22109999999999996,-0.510041664925679,0.5673632127334767,3648.8921755791766,254.0904305123295
2,34.96774193548387,0.17500000000000004,-0.6001927692449777,0.43113316921779576,3659.548494657243,98.31484693197766
2,37.322580645161295,0.1652,-0.6508502334154634,0.363110693192084,3683.8366126552996,44.18389080031758
2,39.67741935483871,0.2993,-0.34642027540592946,0.8541997612925242,3629.9088193853963,117.96567348213368
2,42.03225806451613,0.2491,-0.4539301149351825,0.6536224031990265,3632.5584726173697,182.7686336658223
2,44.38709677419355,0.2704,-0.4131701136872411,0.7256712661770586,3695.3480439104883,254.0821513621446
2,46.74193548387097,0.19499999999999995,-0.579627781043813,0.4820659953244455,3740.0126786040632,35.92044385546061
2,49.09677419354839,0.236,-0.49903618666983934,0.6246008745934446,3702.0914552299946,101.59857612209757
2,51.45161290322581,0.20789999999999997,-0.5552597342749862,0.5282764091717436,3733.03160191517,101.61059022634215
2,53.80645161290323,0.2067,-0.5403077626994421,0.5508708888723322,3714.218906053532,98.31152673799488
2,56.16129032258065,0.32599999999999996,-0.325001574161329,0.8467619574862202,3677.2262337196557,101.60067942789254
2,58.516129032258064,0.22060000000000002,-0.5359579069553693,0.5591768210004291,3737.392414273463,379.81736209393694
2,60.87096774193549,0.21830000000000005,-0.5244574150438492,0.577905164031363,3686.8597210575135,90.58356896962601
2,63.225806451612904,0.21940000000000004,-0.5168539630897292,0.590691913363666,3621.755232840668,254.0836287105018
2,65.58064516129033,0.31610000000000005,-0.3208378960753631,0.8551574275234485,3657.1106338987383,98.28496936461215
2,67.93548387096774,0.33809999999999996,-0.2957554307336478,0.879091210197348,3742.694644833688,254.08227090112362
2,70.29032258064517,0.34619999999999995,-0.2805782388455102,0.8840445749259248,3652.3022537390243,262.314782659542
2,72.64516129032259,0.32220000000000004,-0.3433626275182907,0.825360925232779,3675.6007901498992,98.29310972450772
2,75.0,0.22970000000000002,-0.49654007196050326,0.6228205616877628,3690.1034268997087,101.60622286284722
