target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
2,4,0.0,0.48960000000000004,-0.02568086774008707,0.9992649795612738,20.55730582133717,10.545119152696573
2,8,0.0,0.1876,-0.6074169917641213,0.46937330659356324,23.124183793018876,10.868840945725605
2,16,0.0,0.1371,-0.7050241627023641,0.31366674687580787,23.165891864847836,10.554651681654226
2,32,0.0,0.08789999999999998,-0.7977864048400731,0.18036520443564574,23.24827373463791,10.435569392114008
2,64,0.0,0.07289999999999996,-0.8387727691667372,0.10242248620322858,22.971132653734692,10.24651410851279
2,128,0.0,0.0686,-0.8478553616517696,0.08735333044557891,23.312085112207757,10.263460717435503
2,4,0.1,0.4889,-0.02836710925260924,0.9980482639179963,21.617115142678166,10.474565641235177
2,8,0.1,0.19140000000000001,-0.6021302070668456,0.4968447926850542,23.342101142608037,10.5587085139317
2,16,0.1,0.11760000000000004,-0.7430223052797941,0.27577212140901153,23.22265332795761,10.495838423579904
2,32,0.1,0.11119999999999997,-0.7720230547360105,0.22276829350577254,23.19459769806909,10.63503341801723
2,64,0.1,0.06220000000000003,-0.864421107344871,0.07219758092105022,23.585502069569504,10.36929470477823
2,128,0.1,0.0504,-0.8733196915249325,0.0627504132958926,22.75950987329673,10.588309071696624
2,4,0.25,0.501,-0.004009405865049813,0.9998006034222184,21.46368296442763,10.42404571312568
2,8,0.25,0.17200000000000004,-0.6407565843356271,0.45708558095975904,23.927697594322726,10.269298559677626
2,16,0.25,0.15259999999999996,-0.6737381267176114,0.38471563893655525,23.83766550286927,10.678932200737455
2,32,0.25,0.10999999999999999,-0.7715888402192528,0.21028592568443283,23.696850419781985,10.45561994006259
2,64,0.25,0.05059999999999998,-0.8755563754868656,0.057772131719246,23.44847360149912,10.926973719349624
2,128,0.25,0.06289999999999996,-0.8543499465802127,0.08519586901595688,23.416121967815197,10.525936433617025
2,4,0.5,0.48660000000000003,-0.00571139470277353,0.9999747111394556,20.82033454683585,10.938916705793568
2,8,0.5,0.20809999999999995,-0.5606537539864083,0.57896391164681,23.673762098932254,10.927353449385288
2,16,0.5,0.17920000000000003,-0.6276232968560544,0.46114108617247196,24.01027632479052,10.688191528232585
2,32,0.5,0.10619999999999996,-0.7529915097663356,0.26247698079803383,24.077909943484357,10.456826002373408
2,64,0.5,0.09219999999999995,-0.7869072377289497,0.18774634505249976,23.983372036892593,10.641837446753772
2,128,0.5,0.08709999999999996,-0.791242569817685,0.18290707507591575,23.505009569499084,10.736251137449369
2,4,0.8,0.4972,-0.014014220923108155,0.9998392683073308,18.40765516445914,10.76270475598572
2,8,0.8,0.19910000000000005,-0.5802050466250134,0.5773107368206187,21.35060030184797,10.3853892502422
2,16,0.8,0.17910000000000004,-0.6133182543652966,0.506451570882718,23.161634453446656,10.833392124184485
2,32,0.8,0.132,-0.7129733488458114,0.3206152903427758,23.84287754038397,10.889600841089393
2,64,0.8,0.11829999999999996,-0.7418793188234557,0.2659416822129479,24.194377844136095,10.511869762950846
2,128,0.8,0.06220000000000003,-0.8428407831374535,0.08592780867603922,24.081169117876303,10.784450081583735
