target_dim,n_neighbors,min_dist,ijk,kendall,residual variance,globalh0,globalh1
2,4,0.0,0.14190000000000003,-0.7003529521158834,0.3462824837051708,2589.9661973256984,0.0
2,8,0.0,0.04579999999999995,-0.8769956835253743,0.08177015825967748,2588.878856972232,0.0
2,16,0.0,0.02090000000000003,-0.9086966845241194,0.03383087816209385,2525.750088227937,0.0
2,32,0.0,0.024599999999999955,-0.8981822752658292,0.032539988440509315,2590.7368215435577,0.0
2,64,0.0,0.028200000000000003,-0.9137525936774873,0.025710234266572596,2550.42173253206,0.04813253459638234
2,128,0.0,0.03490000000000004,-0.8911218324043588,0.04073795845515271,2527.1134031753695,0.037799531052348095
2,4,0.1,0.18089999999999995,-0.6071593816466156,0.5131548204185618,2574.5831323775847,0.8465226071533161
2,8,0.1,0.07599999999999996,-0.8081829141996993,0.17399950896572414,2515.6532547777038,0.0
2,16,0.1,0.012399999999999967,-0.9404031915938031,0.016189944454297334,2542.6515074210247,0.0
2,32,0.1,0.02059999999999995,-0.918286195322206,0.022326525766661165,2562.9760019999385,0.09108143569089305
2,64,0.1,0.032200000000000006,-0.9096522307468258,0.03736069725943181,2553.8493730663354,0.06774115673177343
2,128,0.1,0.033299999999999996,-0.908699397073773,0.03151841719015036,2544.5410892501213,0.030792134571358765
2,4,0.25,0.10629999999999995,-0.7175804359367363,0.32411984330955,2511.278950074671,0.0
2,8,0.25,0.07379999999999998,-0.8095892294946712,0.1798588788737122,2597.734779183123,0.0
2,16,0.25,0.01759999999999995,-0.9271999978558674,0.016857744078631054,2591.0098321329147,0.0
2,32,0.25,0.028699999999999948,-0.910907372005886,0.038008542408629054,2588.8777772390645,0.07878433659415354
2,64,0.25,0.037900000000000045,-0.8982785505356197,0.04846010870797779,2592.3878628416364,0.0
2,128,0.25,0.042300000000000004,-0.880696694369739,0.04238492232619995,2565.4898649102133,0.17867409692032085
2,4,0.5,0.15390000000000004,-0.6583160033345571,0.4244076091933372,2550.4260676104054,1.254926887681283
2,8,0.5,0.08889999999999998,-0.7899928396242043,0.15919846978462515,2574.0861114815157,0.0
2,16,0.5,0.01959999999999995,-0.9280579327768643,0.016570295590100703,2536.2965886512334,0.044168142006474564
2,32,0.5,0.042200000000000015,-0.8950043006747964,0.09797442271340706,2534.397559532814,0.15690351272765718
2,64,0.5,0.04310000000000003,-0.9041008561806336,0.03545297541682879,2521.337681205408,0.1990526067595687
2,128,0.5,0.05579999999999996,-0.8803288807338909,0.048667628566591015,2464.8083317123874,0.39323324041127034
2,4,0.8,0.21689999999999998,-0.5372061268920094,0.6769594196562583,2513.683467350194,1.600372112790915
2,8,0.8,0.16510000000000002,-0.677785875030888,0.28895306198109916,2562.979159032293,1.0458144111529433
2,16,0.8,0.31420000000000003,-0.3617052574291845,0.875511771504534,2544.956267528613,1.3276531553194137
2,32,0.8,0.030000000000000027,-0.9177676125086036,0.02381450560939813,2611.4338708051987,0.25274125380265056
2,64,0.8,0.06310000000000004,-0.8695267387832537,0.055278714915186544,2554.460615834949,0.35180413388696874
2,128,0.8,0.1431,-0.718846913224199,0.32875331558707177,2591.3998294997623,0.35074276994270337
