target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.07750000000000001,-0.8475467932351335,0.07606328867955725,213.782049605493,46.69853780913538
2,5,0.01,32,0.1,0.07830000000000004,-0.8479691152705235,0.07585131432553338,206.8315014146447,49.842036537679995
2,3,0.1,32,0.1,0.07310000000000005,-0.8480238186867622,0.07565127090309742,209.94714680530714,49.71910559594588
2,5,0.1,32,0.1,0.07940000000000003,-0.8486282800791745,0.0754550712883294,212.66111004833476,50.74385231237935
2,3,0.01,64,0.1,0.0817,-0.847072569179742,0.07558669851605726,195.64080087488307,53.01100025004612
2,5,0.01,64,0.1,0.07340000000000002,-0.8477934718002254,0.07515092444316107,193.98477261679196,51.50648792130529
2,3,0.1,64,0.1,0.07699999999999996,-0.8476473849744626,0.07508989957293677,198.87695734611808,48.578697605305365
2,5,0.1,64,0.1,0.07699999999999996,-0.8488416486875686,0.07466586824387789,197.97352586206557,46.346642803561
2,3,0.01,32,1.0,0.0958,-0.832668942943093,0.07414575015354252,111.20065338224335,45.11117421035769
2,5,0.01,32,1.0,0.0877,-0.8434803987226036,0.06752553768663416,117.36182722442058,46.69419709311193
2,3,0.1,32,1.0,0.08909999999999996,-0.8426511086258271,0.0679375406806545,127.36219323998095,48.253449930158425
2,5,0.1,32,1.0,0.07930000000000004,-0.8564284436828478,0.06015022730622088,150.87143577136234,49.12064743959255
2,3,0.01,64,1.0,0.09419999999999995,-0.8231940515092204,0.08104442094213993,70.43413151807772,34.846171626914085
2,5,0.01,64,1.0,0.08720000000000006,-0.835655798768029,0.07396133904111013,92.39483161190549,47.878310017835005
2,3,0.1,64,1.0,0.08979999999999999,-0.8384401419361853,0.07147454711161683,104.73534445389356,45.98096613939751
2,5,0.1,64,1.0,0.08560000000000001,-0.8536333050635087,0.0625648058364009,143.81775397935988,51.428280475619665
2,3,0.01,32,2.0,0.09019999999999995,-0.830402203289391,0.0754170854013233,85.5915980468325,44.14448850930601
2,5,0.01,32,2.0,0.09619999999999995,-0.8430732557311972,0.06804530560055566,111.54136210165518,44.99479802521927
2,3,0.1,32,2.0,0.08999999999999997,-0.8457914643661034,0.06578120008887367,126.91447999781978,44.820168107216865
2,5,0.1,32,2.0,0.0756,-0.8593354518091623,0.05883040797524863,144.66456566239154,48.1489424645333
2,3,0.01,64,2.0,0.10399999999999998,-0.8208919118606011,0.08156748993087848,69.48536153880677,35.81798932047277
2,5,0.01,64,2.0,0.09650000000000003,-0.8354940336631783,0.07358532053685618,76.53013531005726,42.056883050116745
2,3,0.1,64,2.0,0.09109999999999996,-0.8380588681862039,0.07194372071282873,91.35221975715962,40.46168352339203
2,5,0.1,64,2.0,0.07950000000000002,-0.8569214331990889,0.060658287275042744,131.78694999375807,49.250313526729066
