target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.16479999999999995,-0.6313774785054803,0.32254081090820264,20.777890327310363,20.35062209384026
2,3,0.1,0.1785,-0.6103674350187542,0.351587403131956,21.337946583301445,21.99760014733107
2,5,0.1,0.18330000000000002,-0.6039562670405089,0.3545477281831716,23.397249482828276,21.364893153555634
2,10,0.1,0.3316,-0.37753358274815363,0.6773911415530876,24.6684595480089,21.083887749499926
2,2,1.0,0.1743,-0.6159864184921019,0.3359162721987684,18.3475841102269,21.550775893541108
2,3,1.0,0.16859999999999997,-0.6126273444463084,0.34547317396726807,21.689003143771167,21.21337298273945
2,5,1.0,0.19020000000000004,-0.5852998991231614,0.38032718269842536,26.541214344591772,22.129055742397867
2,10,1.0,0.3798,-0.3323673587054065,0.75997829572469,25.096669668248772,20.882535642677887
2,2,2.0,0.1844,-0.5979356571744036,0.3570857242836373,19.46140806874535,21.872139938913634
2,3,2.0,0.17669999999999997,-0.6023198196391849,0.3580417658495304,23.41705938643511,20.61917375400507
2,5,2.0,0.19830000000000003,-0.5719453622949666,0.3949503249530826,26.37462808422625,21.870477048216102
2,10,2.0,0.3145,-0.4044787677775868,0.6480336153500703,24.065973151237372,21.49626469986734
