target_dim,perplexity,ijk,kendall,residual variance,globalh0,globalh1
2,2.0,0.4171,-0.1759185659838419,0.9360289916236084,86.62410687617344,40.59283500035403
2,4.35483870967742,0.40459999999999996,-0.17424463928389497,0.9431230472535932,112.4809724371377,39.84181121590475
2,6.709677419354839,0.23299999999999998,-0.5089649913627663,0.5425756432565026,123.79940757559883,36.64615132374345
2,9.064516129032258,0.2813,-0.4539549388826975,0.6317404904360636,123.21561780325256,34.895966355195945
2,11.419354838709678,0.2761,-0.4477158705144037,0.6786900609491602,127.925576256221,36.446172721856236
2,13.774193548387098,0.20540000000000003,-0.5704218651917004,0.5103889823076283,129.97200516070671,36.53603696286741
2,16.129032258064516,0.3144,-0.29834397678640917,0.8793066126458581,127.85079540038068,37.13903061859325
2,18.483870967741936,0.26180000000000003,-0.45552423708580747,0.7115097483199111,127.73312318301801,36.53870963478883
2,20.838709677419356,0.17689999999999995,-0.652769346989106,0.3410713302901487,128.82816065648552,38.379930163231286
2,23.193548387096776,0.31689999999999996,-0.29279359869866545,0.8696962980684791,126.37815841884479,39.356884821307
2,25.548387096774196,0.24580000000000002,-0.47882828625379625,0.6679869399619425,127.42071082576139,38.373379963673166
2,27.903225806451616,0.1804,-0.6241311923348069,0.3757999760640559,126.78772657481478,37.66974635857338
2,30.258064516129032,0.16979999999999995,-0.6376574390078119,0.3585584677058862,128.4917700241154,39.01497024898916
2,32.61290322580645,0.21950000000000003,-0.5511146433160116,0.5608707934462595,127.00347340735695,37.07526917666939
2,34.96774193548387,0.21819999999999995,-0.5579157519558882,0.5201846903267008,127.73966776561086,36.75995434878996
2,37.322580645161295,0.1673,-0.6504469869456513,0.343395493455226,127.3864612450905,39.34188951065412
2,39.67741935483871,0.25229999999999997,-0.49797634996621853,0.6218528899401703,127.58292321694378,38.493239587352384
2,42.03225806451613,0.22030000000000005,-0.564290174529933,0.5113820073202711,126.52874405096497,40.58637247667957
2,44.38709677419355,0.20809999999999995,-0.5724773232893052,0.5060926425509308,127.2143567500809,38.148837209906986
2,46.74193548387097,0.15910000000000002,-0.6579811485909236,0.3302284096043847,127.21366080834409,40.05340592851173
2,49.09677419354839,0.22340000000000004,-0.5478311733860626,0.5412092280542762,125.44380767030445,39.60934314107418
2,51.45161290322581,0.21630000000000005,-0.5673637822970742,0.5134410290665006,124.73885612593037,36.535184595786525
2,53.80645161290323,0.20999999999999996,-0.5726082475114251,0.5003627054482376,125.21900383631868,38.10566068458733
2,56.16129032258065,0.21350000000000002,-0.5733352130573465,0.4965327254603853,126.82176877774793,38.30158584611127
2,58.516129032258064,0.21989999999999998,-0.5573156262940383,0.5265448219614401,125.09823150721235,37.761650419084084
2,60.87096774193549,0.21619999999999995,-0.560058195603791,0.5212364728325676,126.4144881105315,37.45169772605822
2,63.225806451612904,0.2168,-0.5598875461448078,0.5202774844958564,125.7178131169858,38.555963840237766
2,65.58064516129033,0.22199999999999998,-0.5532702843881769,0.5339192411245846,126.5997589492541,38.87854163008878
2,67.93548387096774,0.2106,-0.5671710596405395,0.5168828134208119,124.99699982575042,39.09633708996231
2,70.29032258064517,0.22109999999999996,-0.5549249423495759,0.5299469821361953,126.03891629762161,38.32033897140287
2,72.64516129032259,0.22870000000000001,-0.5533107458650434,0.5286391331784654,127.58092316448973,38.46471017963497
2,75.0,0.22709999999999997,-0.5521506496364639,0.5284128548960427,126.369472047902,38.90455792815752
