target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.00660000000000005,-0.9837115644569301,0.0007667356293200589,470.3711667408058,190.69733755730874
2,3,0.1,0.00770000000000004,-0.9838480237347141,0.0007536184493175391,405.9865323743988,379.81360758058986
2,5,0.1,0.007299999999999973,-0.9846031400746195,0.0007137901435472216,465.0116923862786,101.59752354221422
2,10,0.1,0.008900000000000019,-0.9841564847067898,0.0007275707222558214,346.23411736159795,117.07249196103223
2,2,1.0,0.008700000000000041,-0.9828732074575426,0.0007136066463514501,718.6908005609565,262.3132698792005
2,3,1.0,0.009299999999999975,-0.9808023966643636,0.0008120188588026656,466.37293542061565,254.07891590800227
2,5,1.0,0.009000000000000008,-0.9820555368646112,0.0006977224831253848,540.2959348919994,101.59752354221422
2,10,1.0,0.014700000000000046,-0.9748691382656977,0.0014884354950053247,422.4757879503413,190.69733755730874
2,2,2.0,0.009399999999999964,-0.9826937552566953,0.0006974218715931624,432.90820214878033,159.93850217257054
2,3,2.0,0.011099999999999999,-0.9792006427620803,0.0009154347521905803,556.2824448986117,302.0954804596466
2,5,2.0,0.01200000000000001,-0.9776223854573164,0.0011087962665558004,831.4537056887906,98.28474320202042
2,10,2.0,0.018900000000000028,-0.9712210202323494,0.002035607515990523,406.6639549903974,182.75524095524509
