target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.07420000000000004,-0.8425598378214877,0.08217561930894346,228.33632216073053,48.28324909339347
2,3,0.1,0.07850000000000001,-0.8423440534626997,0.08194389621986131,226.6835628993136,47.38697304112837
2,5,0.1,0.07899999999999996,-0.8457760262497722,0.07983713549069316,218.55476994169837,47.39805330695412
2,10,0.1,0.07999999999999996,-0.8337900282342482,0.08819139839221879,192.34541180283475,44.28419118926876
2,2,1.0,0.07609999999999995,-0.8423838572904746,0.08219095955064548,227.6455670183817,47.367523264762134
2,3,1.0,0.08199999999999996,-0.8414957107650195,0.0823702214118921,227.1796136373691,46.983856326905126
2,5,1.0,0.07340000000000002,-0.8426205193210791,0.08228351800279166,222.28835728002164,47.71232430196944
2,10,1.0,0.0887,-0.8219724359524787,0.09618712009138519,183.677071502393,48.439145839102466
2,2,2.0,0.0786,-0.841857211102234,0.08243318091425189,225.23887148701166,47.91703754427048
2,3,2.0,0.07269999999999999,-0.8404559557411343,0.08353028437427923,228.60851088954766,47.24995311695356
2,5,2.0,0.07779999999999998,-0.845689412751408,0.08124134431549512,223.36575890424552,49.43268591585368
2,10,2.0,0.0938,-0.8045881358148336,0.11289269089680698,195.15832739522156,47.1683214135985
