target_dim,perplexity,ijk,kendall,residual variance,globalh0,globalh1
2,2.0,0.4123,-0.1799909877638978,0.9273484073952615,3916.3224606037475,6703.541181375256
2,4.35483870967742,0.30689999999999995,-0.37603624370863775,0.7220667287976495,3856.0080275098007,6994.427491280349
2,6.709677419354839,0.20889999999999997,-0.5410766264063053,0.4706596987863799,3866.696817058972,6753.21006609584
2,9.064516129032258,0.17579999999999996,-0.6003439936634263,0.38138282939315193,3830.2766592372145,6795.998031437372
2,11.419354838709678,0.23009999999999997,-0.5372739419001724,0.5257553099822313,3874.2924272233636,6899.824938187106
2,13.774193548387098,0.10450000000000004,-0.743413322586929,0.1860020199519541,3901.908227430838,6880.4448172367565
2,16.129032258064516,0.0817,-0.7692244700009289,0.14812066900175036,3838.2134692090417,6747.756522870761
2,18.483870967741936,0.22109999999999996,-0.5795982795666932,0.4985223347029428,3831.117840024098,6966.694276059451
2,20.838709677419356,0.26480000000000004,-0.4434474821094919,0.6417253328656087,3871.993070488104,6870.146846436038
2,23.193548387096776,0.269,-0.44488951092826107,0.6442780088230688,3849.650018805357,6871.1556893673915
2,25.548387096774196,0.11299999999999999,-0.7099935572093521,0.22044451787546226,3818.8169006767775,6655.563701884419
2,27.903225806451616,0.23970000000000002,-0.5323866517142134,0.5630982051476603,3839.223166953659,6925.291012001795
2,30.258064516129032,0.29910000000000003,-0.39780346556584906,0.6949640275164237,3931.3773576121393,6903.975767386334
2,32.61290322580645,0.29590000000000005,-0.3827330355310891,0.7094044781203348,3901.9928122294596,6746.669372149524
2,34.96774193548387,0.2973,-0.44531340925347623,0.6658383709042914,3855.8103969222243,6994.426558337162
2,37.322580645161295,0.32489999999999997,-0.35986985462864746,0.745043709057658,3853.7788040845653,6857.334604885714
2,39.67741935483871,0.28380000000000005,-0.46224433098287,0.6554503161091123,3900.600661598794,6871.986232771126
2,42.03225806451613,0.3006,-0.42723853587342125,0.7225342338258927,3870.3535610004974,6920.26549129831
2,44.38709677419355,0.36019999999999996,-0.29419596342899923,0.8502230903741012,3954.1053394601863,6906.896334979359
2,46.74193548387097,0.29879999999999995,-0.4467120699614933,0.6876417555893044,3830.225548611531,6795.9893995078
2,49.09677419354839,0.29700000000000004,-0.4297797778213568,0.7133285166304729,3881.87963357404,6983.132811145033
2,51.45161290322581,0.36250000000000004,-0.3298212021583538,0.8177670076567624,3878.0684105049095,6903.1286384265795
2,53.80645161290323,0.3035,-0.42111416769778853,0.7141512738467128,3871.980258257081,6870.145448211928
2,56.16129032258065,0.33020000000000005,-0.3795825074271425,0.7697419181830716,3931.3722530015043,6903.974703894187
2,58.516129032258064,0.3198,-0.365342148524086,0.7354943856618517,3900.584287021898,6971.887205755057
2,60.87096774193549,0.33340000000000003,-0.35490951436442597,0.747330158310796,3859.5066504529036,6947.372705259438
2,63.225806451612904,0.3062,-0.41761609675707034,0.7139278852787677,3859.506023279871,6947.372543890662
2,65.58064516129033,0.3496,-0.3276878498798034,0.7918977839395392,3830.6425804747378,6728.730144915423
2,67.93548387096774,0.35450000000000004,-0.32566407656811514,0.8260850954802875,3919.8374423651317,6839.275099913514
2,70.29032258064517,0.3405,-0.3179505990859078,0.7944690184714207,3830.2233303136486,6795.989733866469
2,72.64516129032259,0.32330000000000003,-0.36172363798305374,0.7460225299000913,3880.0745423229296,6983.132937845048
2,75.0,0.33909999999999996,-0.31137395687048597,0.7994005961443015,3897.19037488918,6688.325396313799
