target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.1735,-0.6150431001802109,0.345047074614684,6.9965782511554835,21.23452119046278
2,5,0.01,32,0.1,0.18179999999999996,-0.5929220624423308,0.372016958833163,8.021577315731589,20.98862748792135
2,3,0.1,32,0.1,0.19799999999999995,-0.57050117836485,0.3976978805245196,10.50741564724431,21.673985023696776
2,5,0.1,32,0.1,0.19540000000000002,-0.5585462922454674,0.4135857825766919,15.253134589551129,20.295502811386136
2,3,0.01,64,0.1,0.18069999999999997,-0.6016685621100508,0.36791738232958426,4.768351424262954,16.949337429330832
2,5,0.01,64,0.1,0.1794,-0.5912434529175415,0.37556838082662647,6.717051825739711,18.78524106555351
2,3,0.1,64,0.1,0.20199999999999996,-0.5518713781610265,0.42639819396328194,10.281956046520653,20.21232219883705
2,5,0.1,64,0.1,0.20779999999999998,-0.5442536401060816,0.4294050729759118,10.074562213389653,20.344541538699325
2,3,0.01,32,1.0,0.24550000000000005,-0.4551963280924905,0.5707637742755711,6.471446606284659,18.308930293480238
2,5,0.01,32,1.0,0.24360000000000004,-0.46192778986516464,0.5514518908405533,6.757139473405637,18.174526006649973
2,3,0.1,32,1.0,0.22599999999999998,-0.4843112063983397,0.5065172456032649,13.786878551656677,18.0767168338062
2,5,0.1,32,1.0,0.2309,-0.4796286588578818,0.5269830976895068,13.732317442091654,20.553821787924637
2,3,0.01,64,1.0,0.2792,-0.420955436037473,0.6186221350974539,8.799153414731357,12.81475614714016
2,5,0.01,64,1.0,0.26049999999999995,-0.43828603257911475,0.5865732616629133,7.209175541178567,15.033680984346738
2,3,0.1,64,1.0,0.2572,-0.44213110846515447,0.5725186750193663,7.350591396632468,15.147037916559412
2,5,0.1,64,1.0,0.243,-0.453838091466992,0.5737688764943903,12.785606244275982,18.310378049138095
2,3,0.01,32,2.0,0.24529999999999996,-0.48496595478151566,0.5132333136990312,2.102980611445315,18.99901444643333
2,5,0.01,32,2.0,0.24739999999999995,-0.4508504531489507,0.5762134321260517,4.32615828920779,19.749502168713022
2,3,0.1,32,2.0,0.22540000000000004,-0.47665079447035275,0.5231396712008786,8.21241241067708,19.409429611841194
2,5,0.1,32,2.0,0.24170000000000003,-0.46609928390037375,0.5491873042668001,13.407021676619573,21.409676748668147
2,3,0.01,64,2.0,0.27080000000000004,-0.42412513329951695,0.604748051156346,3.892015840256732,14.672759790565824
2,5,0.01,64,2.0,0.26949999999999996,-0.4258033388519039,0.6050498738236358,6.281256365469358,15.414757278805011
2,3,0.1,64,2.0,0.266,-0.4193481168895765,0.6086134942845013,7.058681056522603,16.725697651623346
2,5,0.1,64,2.0,0.2531,-0.4446633116760531,0.5864126596911545,12.804765102273846,20.271776210116627
