target_dim,perplexity,ijk,kendall,residual variance,globalh0,globalh1
2,2.0,0.3861,-0.2358852065533293,0.8805554498717999,242.09052785146935,50.04191809287293
2,4.35483870967742,0.29510000000000003,-0.42580315296490756,0.6615915660281095,240.25859589976037,47.38001914625746
2,6.709677419354839,0.248,-0.487946981598096,0.6301356225732144,236.21908070919733,47.24477265185419
2,9.064516129032258,0.26380000000000003,-0.4839234901655527,0.6415952682220621,236.26884392228723,46.205901113186655
2,11.419354838709678,0.2228,-0.5494458799901574,0.5355603721442977,237.14939979080154,47.53671005674235
2,13.774193548387098,0.2491,-0.5234307887308765,0.5711261501157219,235.54890670936945,44.9665440007791
2,16.129032258064516,0.19999999999999996,-0.5938920211756419,0.4222577367423753,236.04989130139901,47.386761999192046
2,18.483870967741936,0.27159999999999995,-0.48983010771654434,0.6362895778096667,231.96014108025125,45.70107494735078
2,20.838709677419356,0.20450000000000002,-0.5983217600242542,0.47301262264122634,232.4557940123655,49.10493303619403
2,23.193548387096776,0.21109999999999995,-0.6068293726537575,0.45201995594766486,235.15085959288683,48.97862370496304
2,25.548387096774196,0.15600000000000003,-0.698289988364725,0.2640526517464833,233.5229919080344,47.71750757468613
2,27.903225806451616,0.16390000000000005,-0.6742347535719098,0.32389730126622507,231.1952196422182,44.06766452227896
2,30.258064516129032,0.15610000000000002,-0.6812980495349077,0.28059934212062565,232.3237590916468,48.89936297518631
2,32.61290322580645,0.15700000000000003,-0.6791378934138314,0.29783246414355513,232.60109745988305,43.82160800709645
2,34.96774193548387,0.1512,-0.6858823217373415,0.28085063127605603,236.37091455248367,44.57457623006425
2,37.322580645161295,0.15580000000000005,-0.6851830803553529,0.2866204988064669,236.05638161781022,44.65045843194386
2,39.67741935483871,0.14490000000000003,-0.6988554881992975,0.2528113322832707,232.90300380346252,43.35371445112739
2,42.03225806451613,0.1473,-0.7097258686532452,0.2458157005651539,235.41606968031547,44.58572695863394
2,44.38709677419355,0.17010000000000003,-0.6528683285364085,0.3844292684394103,231.78388291839005,44.958944384042574
2,46.74193548387097,0.15269999999999995,-0.6955637616365605,0.28032584753547407,233.10373625926914,45.03743659484192
2,49.09677419354839,0.14990000000000003,-0.6926957055452155,0.28424111729043955,232.13417244058004,45.28380007015452
2,51.45161290322581,0.1481,-0.6989035023685749,0.2626900223730039,233.27681943560847,41.03957795554636
2,53.80645161290323,0.1281,-0.7168864656270527,0.20968304726533138,235.18978136229117,46.13392827015153
2,56.16129032258065,0.14149999999999996,-0.7020671025932105,0.24457495734239698,232.71451916605548,48.32954154541765
2,58.516129032258064,0.14070000000000005,-0.6988866891372605,0.26060655953909007,229.8245150625449,44.32146119318706
2,60.87096774193549,0.15600000000000003,-0.6924339075392509,0.27672670313628667,235.34597979836158,44.95167144672893
2,63.225806451612904,0.13780000000000003,-0.7050687165313869,0.24358078806811767,231.80984945492366,45.323428410365025
2,65.58064516129033,0.14559999999999995,-0.6941640908226621,0.2720115891956163,232.34724170087466,47.1169308350027
2,67.93548387096774,0.14580000000000004,-0.6716413582256571,0.27873281755373447,234.2280972007729,46.91221611330968
2,70.29032258064517,0.1461,-0.6970705403412657,0.25935969416300264,231.0178224081771,45.09425810775808
2,72.64516129032259,0.13590000000000002,-0.710383773050067,0.24122146100653763,235.27455222697017,47.52716107112125
2,75.0,0.1442,-0.6942384459130643,0.27004642038786664,236.85457451561265,43.591989021529976
